capturedAt,phase,timestamp,connection,collecting,batteryPercent,sensorCount,signal,overallQuality,bp_delta,rbp_delta,bp_theta,rbp_theta,bp_alpha,rbp_alpha,bp_beta,rbp_beta,bp_gamma,rbp_gamma,region_frontal_delta,region_frontal_theta,region_frontal_alpha,region_frontal_beta,region_frontal_gamma,region_attention_frontal_delta,region_attention_frontal_theta,region_attention_frontal_alpha,region_attention_frontal_beta,region_attention_frontal_gamma,region_temporal_delta,region_temporal_theta,region_temporal_alpha,region_temporal_beta,region_temporal_gamma,region_parietal_delta,region_parietal_theta,region_parietal_alpha,region_parietal_beta,region_parietal_gamma,region_occipital_delta,region_occipital_theta,region_occipital_alpha,region_occipital_beta,region_occipital_gamma,ch_AF3,cq_AF3,ch_F7,cq_F7,ch_F3,cq_F3,ch_FC5,cq_FC5,ch_T7,cq_T7,ch_P7,cq_P7,ch_O1,cq_O1,ch_O2,cq_O2,ch_P8,cq_P8,ch_T8,cq_T8,ch_FC6,cq_FC6,ch_F4,cq_F4,ch_F8,cq_F8,ch_AF4,cq_AF4
2026-07-21T17:03:33.002757,reels,1784642613.425793,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,0.8825714285714286,0.25729070142742616,1.077642857142857,0.3141586931398169,0.8331071428571428,0.24287067789727948,0.6369285714285714,0.18567992753547743,0.0,1.120375,1.337875,0.9034374999999999,0.55225,0.0,1.19725,1.5770000000000002,1.0271249999999998,0.55525,0.0,0.769,0.8575,0.80325,0.8759999999999999,0.0,0.479,0.6705,0.7042499999999999,0.634,0.0,0.4485,0.664,0.7104999999999999,0.7395,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:33.502621,reels,1784642614.0654082,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,1.154785714285714,0.34157678452583423,0.9921428571428573,0.29346827098805217,0.7601785714285713,0.22485500892659063,0.47364285714285714,0.14009993555952294,0.0,1.466375,1.10175,0.7652499999999999,0.364625,0.0,1.70275,1.18525,0.925125,0.34725,0.0,0.996,1.0795,1.0375,0.628,0.0,0.5245,0.823,0.6125,0.585,0.0,0.6975,0.6355,0.61025,0.644,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:34.003669,reels,1784642614.562124,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,1.378642857142857,0.35397467286548745,1.2947142857142857,0.33242551786745894,0.7849642857142857,0.20154420327730554,0.43642857142857144,0.11205560598974812,0.0,1.7984999999999998,1.576625,0.7695,0.35887499999999994,0.0,2.183,1.88225,0.915375,0.34175,0.0,1.1655,1.1445,1.2715,0.8314999999999999,0.0,0.654,0.8855,0.642,0.397,0.0,0.637,0.7265,0.50325,0.391,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:34.502737,reels,1784642615.0400271,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,0.8622142857142858,0.30532825759779436,0.8355714285714285,0.2958934601424072,0.6243928571428572,0.22111067548596794,0.5017142857142858,0.17766760677383045,0.0,1.076375,0.948,0.5718749999999999,0.428875,0.0,1.22525,1.0839999999999999,0.6261249999999999,0.40925,0.0,0.732,0.759,1.12075,0.905,0.0,0.632,0.6755,0.47575,0.4465,0.0,0.366,0.6225,0.48675,0.44499999999999995,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:35.012696,reels,1784642615.559776,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,1.2162857142857142,0.3333626993216457,1.0012857142857143,0.27443494944155683,0.8355357142857143,0.229005765522372,0.5954285714285713,0.16319658571442552,0.0,1.56975,1.0405000000000002,0.8131875,0.44125000000000003,0.0,1.93275,1.026,0.882625,0.47025,0.0,0.813,0.856,1.159,1.0185,0.0,0.77,1.1015,0.728,0.749,0.0,0.6519999999999999,0.8895000000000001,0.7090000000000001,0.6355,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:35.502234,reels,1784642615.9154387,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,1.4421428571428574,0.4231728532204314,0.7946428571428571,0.2331747395778751,0.7207142857142859,0.21148162897445036,0.45042857142857146,0.13217077822724319,0.0,1.9786249999999999,0.851,0.7388750000000001,0.32762500000000006,0.0,2.7182500000000003,0.95275,0.8316250000000001,0.35275,0.0,0.8660000000000001,0.628,0.91825,0.7364999999999999,0.0,0.574,0.8365,0.59775,0.5755,0.0,0.7404999999999999,0.694,0.5734999999999999,0.5305,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:36.002713,reels,1784642616.572833,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,1.3815714285714287,0.3066265060240964,1.9057142857142857,0.4229549778059607,0.7809285714285714,0.17331959416613824,0.4375,0.0970989220038047,0.0,1.930375,2.306,0.901625,0.390625,0.0,2.71,3.32475,1.10175,0.39875,0.0,1.2025000000000001,1.059,0.7655000000000001,0.6930000000000001,0.0,0.251,1.135,0.55875,0.3825,0.0,0.496,1.9220000000000002,0.53575,0.4245,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:36.501994,reels,1784642616.9294112,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,1.4755714285714288,0.2714710926258107,2.427142857142857,0.4465382770561064,0.9712500000000001,0.1786875874711715,0.5615,0.10330304284691148,0.0,2.093,2.828625,1.1271875,0.5416249999999999,0.0,2.7897499999999997,4.01425,1.3435000000000001,0.5395,0.0,1.135,1.05,0.9075,0.9085,0.0,0.36250000000000004,1.6485,0.6475,0.4565,0.0,0.4595,2.977,0.7350000000000001,0.399,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:37.002370,reels,1784642617.5571744,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,2.4291428571428573,0.42603194487942375,1.4597857142857145,0.2560225493266521,1.1691428571428568,0.20504854368932032,0.6437142857142858,0.11289696210460383,0.0,3.4065000000000003,1.710375,1.1517500000000003,0.47037500000000004,0.0,3.04225,1.33525,1.086375,0.442,0.0,1.6355,0.88,1.436,1.199,0.0,0.8724999999999999,0.9850000000000001,1.0295,0.719,0.0,0.87,1.512,1.1115,0.7065,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2026-07-21T17:03:37.502542,reels,1784642618.0403953,connected,True,45.0,14.0,0.4925,100.0,0.0,0.0,2.804642857142857,0.40760291285820316,1.466642857142857,0.213149385195912,1.6428214285714282,0.2387536787032279,0.9667142857142857,0.1404940232426569,0.0,3.80875,1.86225,1.6146250000000002,0.6431250000000001,0.0,3.647,1.3864999999999998,1.5375,0.6,0.0,2.1035,1.2955,2.5865,1.7805,0.0,1.1415,0.633,1.2405,1.138,0.0,1.1525,0.889,1.21425,1.276,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
