minute,n_samples,attention,focus,engagement,mentalFatigue,stress,relaxation,distraction,interest,excitement,thetaBeta,alphaBeta,rbp_theta_pct,rbp_alpha_pct,rbp_beta_pct,rbp_gamma_pct
0,121,20.612,22.001,22.675,71.973,36.272,53.174,78.098,25.249,31.255,5.3391,1.7385,55.216,23.301,14.561,6.922
1,120,15.661,17.279,17.775,76.353,32.922,54.544,82.869,20.649,27.356,7.2321,2.0158,60.661,21.157,11.674,6.508
2,120,18.089,19.798,20.335,75.757,34.859,53.642,80.357,23.126,29.638,7.2464,1.9656,58.825,20.963,13.048,7.164
3,120,21.904,22.316,24.915,72.742,36.577,52.965,75.88,27.892,34.838,8.0997,1.9311,55.157,21.794,14.3,8.748
4,120,22.477,22.41,25.325,70.803,35.365,53.5,75.47,28.156,34.762,6.5002,1.8974,53.845,23.251,14.426,8.478
5,120,22.919,22.409,25.771,69.689,34.39,53.931,75.014,28.508,34.895,6.2706,1.9535,53.192,23.852,14.468,8.487
6,120,23.403,22.772,26.601,69.858,35.359,53.472,74.204,29.598,36.589,5.6693,1.8756,52.656,23.567,14.542,9.235
7,120,21.406,21.519,24.435,71.463,34.952,53.743,76.346,27.522,34.725,6.199,1.8421,54.435,22.949,13.888,8.728
8,81,21.327,22.46,23.98,72.753,36.82,52.937,76.805,27.011,34.082,5.2553,1.7217,54.815,22.342,14.599,8.243
